col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108
120187569,,"05/30/1984",,,,"Female","Yes","Divorced",,"Self-employed","private sector emmoye",11900,1,7,"Junior school",,"No","Sometimes","Sometimes","Sometimes","Poor","Sometimes","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Sometimes","Sometimes","Very Good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Fairly dissatisfied","A small amount","A small amount","Sometimes","A small amount","Somewhat","Fairly dissatisfied","Fairly dissatisfied","Slightly","Slightly","To a great extent","Slightly","Neither satisfied nor dissatisfied","Very dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied",,"Yes","Yes","No","Yes","A few times","Never","Never",,,,"Yes","Very good",,,"Cochlear Implants",,,"No","Somewhat",,,"Somewhat","no","loss of education, misunderstand, loss of job","Yes","Yes",,"Unsatisfied","Sometimes","Sometimes","Sometimes","Slightly","Yes",,"Malaria",,,,,,,,"mosquito net","Satisfied","Never","Yes","Slightly","Slightly","Yes","Slightly","newspaper","A little of the time","trying speaking"
120187429,"sign language","11/19/1997","video call text message whatsapp sign language","marighi","Christianity","Female","No","Single",,"Student",,,,6,"College of Education",,,"Sometimes","Always","Infrequently","Fair","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Never","Neither poor nor good","Fairly dissatisfied","Neither satisfied nor dissatisfied","Not at all","Fairly dissatisfied","Not at all","Not at all","Sometimes","A great deal","Not at all","Satisfied","Fairly dissatisfied","Slightly","Not at all","Not at all","Not at all","Satisfied","Very dissatisfied","Fairly dissatisfied","Fairly dissatisfied","Very dissatisfied","none anyone","No","Yes","No","Yes",,"A few times","A few times",8,"hearing aids",14,"Yes","Neither poor nor good","school center jada",,"Cochlear Implants",,,"No","Not at all",,,"Not at all","never","cancel","No","No","association deaf","Unsatisfied","Sometimes","Sometimes","Sometimes","Not at all",,,"Malaria",,,,,,,,"net","Neither satisfied nor dissatisfied","Sometimes","Yes","Not at all","Not at all","No","Not at all","family","A fair amount of the time",
120179931,"Sign language","01/09/1990","facebook","Fulani","Islam","Male","No","Single",,"Self-employed","businessman",20000,1,7,"College of Education",60000,"Yes","Always","Always","Always","Excellent","Always","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Never","Always","Very Good","Very satisfied","Satisfied","To a great extent","Satisfied","An extreme amount","A small amount","Sometimes","A great deal","Not at all","Satisfied","Fairly dissatisfied","Slightly","Moderately","Not at all","Very","Satisfied","Very dissatisfied","Satisfied","Satisfied","Very dissatisfied","none anyone","Yes","No","Yes","Yes","Many times","Once","Once",4,,7,"Yes","Very good","teacher","Hearing Aids",,,10,"Yes","Not at all",,,"Completely",,"at home","Yes","Yes",,"Satisfied","Always","Frequently","Always","To a great extent","No",,,,,"Diabetes",,,,,"yes","Neither satisfied nor dissatisfied","Sometimes","Yes","To a great extent","Somewhat","No","To a great extent","tv","All of the time","yes"
120164577,"sign language","01/09/1990","facebook","fulani","Islam","Male","No","Single",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120164559,"Nigeria Sign Language","01/01/1959","text message, whatsapp, and facebook","Higgig and Kammie","Islam","Male","No","Married","Yes","Retired","library",25000,1,5,"College of Education",,"Yes","Sometimes","Always","Sometimes","Good","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Always","Good","Satisfied","Satisfied","Completely","Satisfied","Not at all","Not at all","Sometimes","Not at all","Slightly","Satisfied","Satisfied","Slightly","Slightly","Slightly","Slightly","Satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","text police","No","Yes","Yes","Yes","A few times","Many times","A few times",4,,7,"I already know sign language","Good","I learned sign language at special education centre jada","Hearing Aids",,,22,"Yes","Slightly",,,"Slightly","disable training centre","lack of interpreter, lack of assistance from government, hearing people have not help informat when nesccseayr or in case of nessary form government","No","No","government","Satisfied","Sometimes","Sometimes","Sometimes","Slightly","No","Typhoid","Malaria",,,,,,"Ulcers",,"mosquito net","Satisfied","Sometimes","No","Slightly","Slightly","Yes","Slightly","send text to doctor","A little of the time","write, speak the language they can understand and sign language"
120164291,"English","03/02/1998","text","Igbo","Christianity","Male","No","Single",,"Student",,0,,,"University (Bachelor degree)",0,"No","Sometimes","Sometimes","Sometimes","Good","Sometimes","Yes",,,,,,,,"Always","Sometimes","Good","Satisfied","Satisfied","Somewhat","Satisfied","A small amount","A moderate amount","Never","A moderate amount","To a great extent","Neither satisfied nor dissatisfied","Very dissatisfied","Slightly","Not at all","Slightly","Moderately","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Fairly dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",,"No","No","No","No","Never","Never","Never",0,"hearing aids",10,"Yes","Good","deaf school",,,,,,"Not at all",,,"Not at all","church deaf association",,"No","Yes",,"Very Unsatisfied","Sometimes","Never","Sometimes","Not at all","No",,"Malaria",,,,,,,"Other",,"Neither satisfied nor dissatisfied","Sometimes","No","Slightly","Slightly","Yes","Somewhat",,"All of the time",
120164269,"English language Sign language Hausa language","09/15/1985","Facebook, email, whatsapp","bachama","Christianity","Male","No","Married","Yes","Student","student",15000,1,5,"University (Bachelor degree)",145000,"No","Sometimes","Sometimes","Sometimes","Fair","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Sometimes","Neither poor nor good","Fairly dissatisfied","Fairly dissatisfied","Not at all","Fairly dissatisfied",,"A small amount","Sometimes","A small amount","Completely","Neither satisfied nor dissatisfied","Fairly dissatisfied","Slightly","Moderately","Not at all","Moderately","Fairly dissatisfied","Very dissatisfied","Fairly dissatisfied","Satisfied","Very dissatisfied","neighbor, friend, and family","Yes","Yes","No","Yes","Never","Never","Never",9,"hearing aids",12,"I already know sign language","Good","school for the deaf",,,,15,"No","Not at all",,,"Not at all","church program","communication, employment, and furthering our education","No","No","personally","Very Unsatisfied","Never","Sometimes","Sometimes","Slightly","No",,"Malaria",,,,,,,,"buy drug at pharmacy","Neither satisfied nor dissatisfied","Sometimes","No","Somewhat","Not at all","No","Not at all"," through the awareness group - information through media","A fair amount of the time","lipreading and writing exchange of notes"
120163942,"sign language","01/15/1993","eye can see sign language","igbo","Christianity","Male","No","Single",,"Private sector employee","teacher",12000,4,2,"College of Education",0,"No","Always","Always","Always","Very Good","Always","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Sometimes","Sometimes","Very Good","Very satisfied","Satisfied","Completely","Satisfied","A small amount","Not at all","Sometimes","A small amount","Completely","Very satisfied","Very satisfied","Not at all","Slightly","Not at all","Extremely","Very satisfied","Satisfied","Satisfied","Very dissatisfied","Very dissatisfied","parent","Yes","No","No","Yes","Never","Never","Never",,,15,"Yes","Very good","jada","Hearing Aids",,,,"No","Not at all",,,"Not at all",,,,"No",,"Satisfied","Always","Always","Sometimes","Completely","No","Typhoid",,,,,,,,,,"Very dissatisfied","Always","Yes","Completely","Completely","Yes","Slightly",,"All of the time","yes"
120163829,"Sign language","08/18/1995","message text","Fulani","Islam","Male","No","Single",,"Unemployed","I'm jobless",0,,,"Polytechnic",,"Yes","Frequently","Frequently","Sometimes","Excellent","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Sometimes","Very Good","Satisfied","Satisfied","Not at all","Satisfied","Not at all","Not at all","Sometimes","Not at all","Slightly","Satisfied","Satisfied","Not at all","Not at all","Not at all","Not at all","Satisfied",,"Satisfied","Satisfied","Satisfied","report to police or making calls","No","No","No","No","Never","Never","Never",5,"n/a",7,"Yes","Very good","teacher","Hearing Aids",,,10,"No","Not at all",,,"Not at all","yes i did","n/a","Yes","Yes","n/a","Satisfied","Frequently","Sometimes","Sometimes","Slightly","No",,,,,,,,"Ulcers",,"it will help me to drink some medicine","Satisfied","Sometimes","No","Slightly","Completely","No","Not at all","message writing or sending sms","A little of the time","hand writing on paper or sometimes signing hands"
120163601,"English","06/06/1998",,,"Islam","Male",,"Single",,"Student","seli-relient",5000,1,5,"Polytechnic",100000,"No","Sometimes","Always","Infrequently","Fair","Infrequently","Yes","I don't have the transportation to go shopping for healthy food",,,,,,,"Infrequently","Sometimes","Neither poor nor good","Fairly dissatisfied","Fairly dissatisfied","Somewhat","Neither satisfied nor dissatisfied","A small amount","A great deal","Infrequently","A great deal","Somewhat","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Slightly","Somewhat","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","authority","No","Yes","No","Yes","A few times","A few times","Never",0,,7,"I already know sign language","Neither poor nor good","at school of special",,,,,,"Not at all",,,"Somewhat","poor, social amenties and inclusion","discrminate","No","No",,"Satisfied","Sometimes","Sometimes","Sometimes","Somewhat","No",,"Malaria",,,,,,"Ulcers",,,,,,,,,,,"A fair amount of the time","hausa sign language or read lip"
120163480,"sign language","05/18/1991","facebook","fulani","Islam","Male","No","Married","Yes","Private sector employee","business man",5000,,1,"College of Education",17500,"Yes","Always","Always","Always","Excellent","Always","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Never","Always","Neither poor nor good","Very dissatisfied","Satisfied","Not at all","Satisfied","A great deal","A great deal","Infrequently","An extreme amount","Not at all","Very satisfied","Very satisfied","Slightly","Very","Completely","Extremely","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied",,"No","No","No","No","Never","Once","Never",5,"no",12,"Yes","Very good","teacher","Hearing Aids",,,9,"Yes","Not at all",,,"Completely",,"at home","Yes","Yes",,"Satisfied","Always","Frequently","Always","Completely","Yes",,"Malaria",,,,,,,,"yes","Very satisfied","Always","Yes","To a great extent","To a great extent","Yes","To a great extent","tv","All of the time","yes"
120163387,"NSL","02/27/1978",,"Fulani","Islam","Female",,"Married","Yes","Unemployed",,15000,1,5,"Primary school (or can read and write)",,"Yes",,,"Never","Very Good",,"Yes",,,,,,,,"Always","Never","Very Good",,,,,,,,"A small amount",,,,,,,,,,,,,"husband","Yes","No","Yes","No","Never","Never","Never",0,"no",13,"Yes","Good","school and home","Hearing Aids",,,15,"No","Not at all",,,"Not at all",,"discrmination, unifinical tribalism","Yes","Yes","association",,,,,,,,,,,,,,,,"Spiris",,,,,,,,,,
120163211,"English","09/01/1990","facebook","maxabilla","Islam","Male",,"Single",,"Unemployed","laundry cleaning",70000,1,,"Primary school (or can read and write)",100000,"Yes","Sometimes","Sometimes","Sometimes","Good","Infrequently","No",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Infrequently","Infrequently","Neither poor nor good","Satisfied","Satisfied","Slightly","Satisfied","A moderate amount","A moderate amount","Infrequently","A moderate amount","Somewhat","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat","Not at all","Somewhat","Not at all","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied",,"No","No","No","No","A few times","A few times","A few times",0,"native",5,"Yes","Neither poor nor good","muynm-biym",,"Cochlear Implants",,21,,"Somewhat",,,"Somewhat",,"discrimination","Yes","No",,,"Sometimes","Sometimes","Sometimes","Somewhat","Yes",,"Malaria",,,,,,,,"somewhat","Neither satisfied nor dissatisfied","Sometimes","No","Somewhat","Somewhat","Yes","Somewhat",,"A little of the time","sign language"
120163051,"English","04/13/1999","message text","F","Christianity","Female","No","Single",,"Private sector employee","self-relient",,,5,"Primary school (or can read and write)",80000,"Yes","Frequently","Frequently","Frequently","Excellent","Sometimes","Yes",,"I don't have the time to shop for, and prepare healthy food",,,,,,"Sometimes","Sometimes","Very Good","Satisfied","Satisfied","Not at all","Satisfied","Not at all","A small amount","Sometimes","Not at all","Slightly","Satisfied","Satisfied","Not at all","Slightly","Slightly","Slightly","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied",,"No","Yes","No","Yes","Once","Once","Once",5,"5",6,"I already know sign language","Neither poor nor good","at school","Hearing Aids",,,8,"No","Somewhat",,,"Somewhat",,"discrmiante","No","Yes",,"Neutral","Sometimes","Sometimes","Sometimes","Somewhat","No",,,,,,,,,"Other","no, somewhat","Neither satisfied nor dissatisfied","Sometimes",,"Somewhat","Somewhat","Yes","Slightly",,"A little of the time","sign language hausa"
120161392,"Sign language","11/27/1995","video call, tet message, whatapp, eyes to contact the sign language for understanding","Fulani","Islam","Male","No","Married","No","Self-employed","businessman as pos",45000,2,,"College of Education",15000,"Yes","Sometimes","Always","Infrequently","Fair","Sometimes","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Infrequently","Always","Good","Neither satisfied nor dissatisfied","Satisfied","Somewhat","Satisfied","An extreme amount","A small amount","Sometimes","A great deal","Not at all","Satisfied","Fairly dissatisfied","Slightly","Moderately","Not at all","Very","Satisfied","Very dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Very dissatisfied","none anyone","Yes","No","Yes","Yes","Many times","Once","Once",7,,8,"I already know sign language","Very good","in special education centre Jada, deaf school","Hearing Aids",,,11,"No","Not at all",,,"Not at all","schools, skill acquire workshop centre","no employment, government doesn't care deaf children, can't afford educational","No","Yes","by the organization","Neutral","Never","Always","Always","To a great extent","No",,,,,"Diabetes",,,,,"yes","Neither satisfied nor dissatisfied","Sometimes","Yes","To a great extent","Somewhat","No","To a great extent","by newspaper or on social medical phone","All of the time","use body language or writing"
120161371,"Sign Language","05/30/1997","WhatsApp Messenger","Fulani","Islam","Male","No","Single",,"Self-employed","Farmer",30000,2,5,"College of Education",100000,"No","Sometimes","Sometimes","Sometimes","Good","Sometimes","Yes",,,"I don't know how to cook and prepare healthy meals",,,,,"Never","Sometimes","Good","Fairly dissatisfied","Very satisfied","Somewhat","Satisfied","A small amount","A great deal","Sometimes","A small amount","Completely","Satisfied","Very satisfied","To a great extent","Very","Not at all","Very","Very satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","handwriting","No","No","No","No","A few times","Many times","Never",5,"n/a",12,"Yes","Good","communication fingers","Hearing Aids",,,5,"No","Not at all",,,"Not at all","yes i wove du","many things","No","Yes","sign language","Very Satisfied","Sometimes","Sometimes","Sometimes","Not at all","Yes",,,"HIV/AIDS",,,,,,,"care of health","Very satisfied","Sometimes","Yes","Not at all","Not at all","Yes","Not at all","information doctor","All of the time","handwriting"
120070581,"sign language","04/16/1987","text","Higgi / Kamoe","Christianity","Male","No","Single",,"Private sector employee","Farm",10,,6,"College of Education",,"Yes","Sometimes","Always","Sometimes","Good","Always","Yes",,,,"I don't have the supplies and equipment I'd need to cook healthy food",,,,"Sometimes","Never","Neither poor nor good","Very satisfied","Very dissatisfied","Slightly","Fairly dissatisfied","A moderate amount","An extreme amount","Never","A great deal","Slightly","Very satisfied","Very satisfied","To a great extent","Moderately","Not at all","Very","Neither satisfied nor dissatisfied","Satisfied","Very dissatisfied","Fairly dissatisfied","Fairly dissatisfied","am sorry","No","No","Yes","Yes","Never","A few times","Once",,"sign language",,"Yes","Good","student book sign language",,,,,,"Somewhat",,,"Somewhat",,"no","Yes","Yes","yes","Unsatisfied","Never","Always","Infrequently","Somewhat","Yes",,,,,,,"Liver disease",,,"yes","Satisfied","Sometimes","Yes","Completely","Completely","No","Somewhat","yes","A little of the time","yes"
120068644,"English sign language","10/31/1983","text message, whatsapp, and facebook","Bachama","Christianity","Male","No","Married","Yes","Government employee","civil servant",45500,,,,50000,"No","Sometimes","Frequently","Sometimes","Poor","Sometimes","Yes",,,,,,,,"Never","Never","Good","Satisfied","Satisfied","Somewhat","Neither satisfied nor dissatisfied","An extreme amount","A small amount","Sometimes","A great deal","To a great extent","Satisfied","Fairly dissatisfied","Not at all","Moderately","Not at all","Not at all","Very dissatisfied","Very dissatisfied","Satisfied","Satisfied","Very satisfied",,"Yes","No","No","Yes","A few times","Never","Never",12,,14,"Yes","Good","special education centre jada","Hearing Aids",,,23,"No","Not at all",,,"Not at all","schooling",,"Yes","Yes",,"Very Unsatisfied","Frequently","Frequently","Always","Not at all","No",,,,,,"High Blood Pressure",,,,,"Very dissatisfied","Sometimes","Yes","To a great extent","Slightly","Yes","Slightly","writing the doctor about my health","All of the time","facebook, text message, and whatsapp"
